Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,MA_Fast_Period,MA_Slow_Period,DeMarker_Period
,,,,,,,,,,,,
,,,,ANUL 2021,,,,,,,,
,,,,,,,,,,,,
136,-8.56,10068.42,774.49385,2.44651,1.11403,49.35385,0,8.56,13,30,40,10
135,-8.56,10068.42,774.49385,2.44651,1.11403,49.35385,0,8.56,13,20,40,10
141,-8.56,9812.65,817.72083,2.41500,1.08846,43.66947,0,8.56,12,30,60,10
140,-8.56,9812.65,817.72083,2.41500,1.08846,43.66947,0,8.56,12,20,60,10
138,-9.47,9011.88,643.70571,2.13666,0.90072,51.38796,0,9.47,14,50,40,10
137,-9.47,9011.88,643.70571,2.13666,0.90072,51.38796,0,9.47,14,40,40,10
144,-9.47,8677.38,667.49077,2.09899,0.87018,45.88805,0,9.47,13,60,60,10
143,-9.47,8677.38,667.49077,2.09899,0.87018,45.88805,0,9.47,13,50,60,10
142,-9.47,8677.38,667.49077,2.09899,0.87018,45.88805,0,9.47,13,40,60,10
139,-9.47,8677.38,667.49077,2.09899,0.87018,45.88805,0,9.47,13,60,40,10
575,-5.09,-12.60,-2.10000,0.99378,-0.00235,-0.00825,0,5.09,6,20,180,19
570,-5.09,-12.60,-2.10000,0.99378,-0.00235,-0.00825,0,5.09,6,20,160,19
565,-5.09,-12.60,-2.10000,0.99378,-0.00235,-0.00825,0,5.09,6,20,140,19
560,-5.09,-12.60,-2.10000,0.99378,-0.00235,-0.00825,0,5.09,6,20,120,19
555,-5.09,-12.60,-2.10000,0.99378,-0.00235,-0.00825,0,5.09,6,20,100,19
585,-3.09,-371.55,-46.44375,0.87673,-0.11824,-1.09043,0,3.09,8,20,40,20
446,-5.78,-409.13,-68.18833,0.79679,-0.06718,-0.27327,0,5.78,6,30,200,16
445,-5.78,-409.13,-68.18833,0.79679,-0.06718,-0.27327,0,5.78,6,20,200,16
